# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1396778	1398073	-							amb1280	1296		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1396778	1398073	-	BAE50084.1			N-acetylglucosamine-1-phosphate uridyltransferase			amb1280	1296	431	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1398966	1401461	+							amb1281	2496		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1398966	1401461	+	BAE50085.1			Predicted signal transduction protein containing a membrane domain			amb1281	2496	831	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1401501	1401887	+							amb1282	387		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1401501	1401887	+	BAE50086.1			Predicted transcriptional regulator			amb1282	387	128	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1402022	1403068	-							amb1283	1047		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1402022	1403068	-	BAE50087.1			Truncated possibly inactive lysyl-tRNA synthetase			amb1283	1047	348	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1403095	1404129	+							amb1284	1035		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1403095	1404129	+	BAE50088.1			Lysine 2,3-aminomutase			amb1284	1035	344	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1405527	1406093	+							amb1285	567		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1405527	1406093	+	BAE50089.1			Translation elongation factor P			amb1285	567	188	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1406097	1406894	+							amb1286	798		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1406097	1406894	+	BAE50090.1			Archaeal fructose-1,6-bisphosphatase and related enzyme of inositol monophosphatase family			amb1286	798	265	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1406969	1408231	+							amb1287	1263		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1406969	1408231	+	BAE50091.1			Lysophospholipase			amb1287	1263	420	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1408280	1409473	+							amb1288	1194		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1408280	1409473	+	BAE50092.1			hypothetical protein			amb1288	1194	397	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1409477	1410478	+							amb1289	1002		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1409477	1410478	+	BAE50093.1			Flagellar motor protein			amb1289	1002	333	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1410435	1410857	+							amb1290	423		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1410435	1410857	+	BAE50094.1			Membrane transporters of cations and cationic drugs			amb1290	423	140	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1411004	1411756	-							amb1291	753		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1411004	1411756	-	BAE50095.1			hypothetical protein			amb1291	753	250	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1411999	1412943	-							amb1292	945		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1411999	1412943	-	BAE50096.1			ABC-type uncharacterized transport system			amb1292	945	314	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1412949	1413674	-							amb1293	726		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1412949	1413674	-	BAE50097.1			ABC-type uncharacterized transport system			amb1293	726	241	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1413659	1414831	-							amb1294	1173		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1413659	1414831	-	BAE50098.1			Cystathionine beta-lyase/cystathionine gamma-synthase			amb1294	1173	390	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1414905	1415021	-							amb1295	117		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1414905	1415021	-	BAE50099.1			hypothetical protein			amb1295	117	38	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1415205	1415612	+							amb1296	408		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1415205	1415612	+	BAE50100.1			hypothetical protein			amb1296	408	135	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1415637	1416134	+							amb1297	498		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1415637	1416134	+	BAE50101.1			Insertion element IS402 hypothetical 162 kDa protein			amb1297	498	165	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1417020	1418588	+							amb1298	1569		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1417020	1418588	+	BAE50102.1			Methyl-accepting chemotaxis protein			amb1298	1569	522	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1418652	1419506	-							amb1299	855		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1418652	1419506	-	BAE50103.1			Rhodanese-related sulfurtransferase			amb1299	855	284	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1419551	1420273	-							amb1300	723		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1419551	1420273	-	BAE50104.1			Cysteine synthase			amb1300	723	240	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1420614	1422797	-							amb1301	2184		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1420614	1422797	-	BAE50105.1			Aerobic-type carbon monoxide dehydrogenase large subunit CoxL/CutL homolog			amb1301	2184	727	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1422794	1423201	-							amb1303	408		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1422794	1423201	-	BAE50106.1			Aerobic-type carbon monoxide dehydrogenase small subunit CoxS/CutS homolog			amb1303	408	135	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1423200	1423430	+							amb1302	231		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1423200	1423430	+	BAE50107.1			hypothetical protein			amb1302	231	76	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1423427	1425004	+							amb1304	1578		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1423427	1425004	+	BAE50108.1			hypothetical protein			amb1304	1578	525	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1425052	1425696	+							amb1305	645		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1425052	1425696	+	BAE50109.1			ATPase involved in chromosome partitioning			amb1305	645	214	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1425701	1426186	+							amb1306	486		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1425701	1426186	+	BAE50110.1			Predicted integral membrane protein			amb1306	486	161	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1426183	1426815	+							amb1307	633		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1426183	1426815	+	BAE50111.1			NTP pyrophosphohydrolase			amb1307	633	210	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1426820	1427440	-							amb1308	621		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1426820	1427440	-	BAE50112.1			Membrane protein TerC			amb1308	621	206	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1427437	1428672	-							amb1309	1236		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1427437	1428672	-	BAE50113.1			Uncharacterized membrane protein			amb1309	1236	411	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1428792	1429373	+							amb1310	582		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1428792	1429373	+	BAE50114.1			hypothetical protein			amb1310	582	193	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1429362	1430081	-							amb1311	720		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1429362	1430081	-	BAE50115.1			Putative effector of murein hydrolase			amb1311	720	239	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1430081	1430434	-							amb1312	354		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1430081	1430434	-	BAE50116.1			Putative effector of murein hydrolase LrgA			amb1312	354	117	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1430462	1430746	+							amb1313	285		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1430462	1430746	+	BAE50117.1			Uncharacterized conserved protein			amb1313	285	94	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1430886	1431578	-							amb1314	693		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1430886	1431578	-	BAE50118.1			Orotate phosphoribosyltransferase			amb1314	693	230	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1431663	1432442	+							amb1315	780		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1431663	1432442	+	BAE50119.1			Enoyl-CoA hydratase/carnithine racemase			amb1315	780	259	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1432543	1433520	-							amb1316	978		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1432543	1433520	-	BAE50120.1			hypothetical protein			amb1316	978	325	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1433643	1436699	-							amb1317	3057		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1433643	1436699	-	BAE50121.1			Signal transduction histidine kinase			amb1317	3057	1018	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1436792	1437214	+							amb1318	423		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1436792	1437214	+	BAE50122.1			Predicted transcriptional regulator			amb1318	423	140	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1437290	1438072	+							amb1319	783		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1437290	1438072	+	BAE50123.1			hypothetical protein			amb1319	783	260	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1438349	1439806	-							amb1321	1458		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1438349	1439806	-	BAE50124.1			NAD-dependent aldehyde dehydrogenase			amb1321	1458	485	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1439805	1440710	+							amb1320	906		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1439805	1440710	+	BAE50125.1			Predicted hydrolase or acyltransferase			amb1320	906	301	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1440892	1441578	-							amb1322	687		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1440892	1441578	-	BAE50126.1			hypothetical protein			amb1322	687	228	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1441583	1442602	-							amb1323	1020		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1441583	1442602	-	BAE50127.1			TRAP-type C4-dicarboxylate transport system			amb1323	1020	339	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1442665	1444023	-							amb1324	1359		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1442665	1444023	-	BAE50128.1			ABC-type nitrate/sulfonate/bicarbonate transport system			amb1324	1359	452	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1444035	1445774	-							amb1325	1740		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1444035	1445774	-	BAE50129.1			ABC-type anion transport system			amb1325	1740	579	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1445877	1446404	-							amb1326	528		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1445877	1446404	-	BAE50130.1			Dihydrofolate reductase			amb1326	528	175	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1446472	1447299	-							amb1327	828		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1446472	1447299	-	BAE50131.1			Thymidylate synthase			amb1327	828	275	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1447428	1448615	+							amb1328	1188		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1447428	1448615	+	BAE50132.1			GGDEF domain			amb1328	1188	395	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1448636	1448788	-							amb1329	153		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1448636	1448788	-	BAE50133.1			hypothetical protein			amb1329	153	50	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1449055	1449558	+							amb1330	504		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1449055	1449558	+	BAE50134.1			Uncharacterized protein			amb1330	504	167	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1449688	1451304	+							amb1331	1617		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1449688	1451304	+	BAE50135.1			Fumarate hydratase class I aerobic			amb1331	1617	538	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1451264	1451797	+							amb1332	534		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1451264	1451797	+	BAE50136.1			Regulator of competence-specific gene			amb1332	534	177	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1451809	1452300	+							amb1333	492		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1451809	1452300	+	BAE50137.1			Uncharacterized protein			amb1333	492	163	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1452606	1452878	-							amb1334	273		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1452606	1452878	-	BAE50138.1			hypothetical protein			amb1334	273	90	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1452773	1453309	-							amb1335	537		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1452773	1453309	-	BAE50139.1			Response regulator			amb1335	537	178	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1453464	1454513	+							amb1336	1050		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1453464	1454513	+	BAE50140.1			Signal transduction histidine kinase			amb1336	1050	349	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1454576	1454926	+							amb1337	351		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1454576	1454926	+	BAE50141.1			hypothetical protein			amb1337	351	116	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1454999	1455550	-							amb1338	552		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1454999	1455550	-	BAE50142.1			hypothetical protein			amb1338	552	183	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1455562	1455897	-							amb1339	336		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1455562	1455897	-	BAE50143.1			hypothetical protein			amb1339	336	111	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1455976	1456356	-							amb1340	381		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1455976	1456356	-	BAE50144.1			hypothetical protein			amb1340	381	126	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1456441	1456995	+							amb1341	555		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1456441	1456995	+	BAE50145.1			Thiol-disulfide isomerase and thioredoxins			amb1341	555	184	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1457105	1457788	+							amb1342	684		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1457105	1457788	+	BAE50146.1			Uncharacterized protein			amb1342	684	227	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1457792	1459123	+							amb1343	1332		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1457792	1459123	+	BAE50147.1			WD40-like repeat			amb1343	1332	443	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1459134	1460528	+							amb1344	1395		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1459134	1460528	+	BAE50148.1			GTP-binding protein engA			amb1344	1395	464	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1460774	1462270	-							amb1345	1497		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1460774	1462270	-	BAE50149.1			Response regulator			amb1345	1497	498	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1462391	1462771	-							amb1346	381		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1462391	1462771	-	BAE50150.1			hypothetical protein			amb1346	381	126	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1462925	1463554	+							amb1347	630		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1462925	1463554	+	BAE50151.1			Response regulator			amb1347	630	209	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1463555	1464061	-							amb1348	507		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1463555	1464061	-	BAE50152.1			hypothetical protein			amb1348	507	168	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1464279	1464572	+							amb1349	294		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1464279	1464572	+	BAE50153.1			hypothetical protein			amb1349	294	97	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1464532	1464744	-							amb1350	213		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1464532	1464744	-	BAE50154.1			hypothetical protein			amb1350	213	70	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1464750	1465664	-							amb1351	915		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1464750	1465664	-	BAE50155.1			hypothetical protein			amb1351	915	304	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1465734	1466288	+							amb1352	555		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1465734	1466288	+	BAE50156.1			Uncharacterized protein			amb1352	555	184	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1466540	1466824	-							amb1353	285		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1466540	1466824	-	BAE50157.1			hypothetical protein			amb1353	285	94	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1466817	1467005	-							amb1354	189		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1466817	1467005	-	BAE50158.1			hypothetical protein			amb1354	189	62	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1467066	1468157	+							amb1355	1092		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1467066	1468157	+	BAE50159.1			ABC-type uncharacterized transport system			amb1355	1092	363	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1468147	1470897	+							amb1356	2751		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1468147	1470897	+	BAE50160.1			Predicted signal transduction protein			amb1356	2751	916	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1470915	1471394	-							amb1357	480		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1470915	1471394	-	BAE50161.1			hypothetical protein			amb1357	480	159	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1471652	1471873	-							amb1358	222		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1471652	1471873	-	BAE50162.1			Uncharacterized protein			amb1358	222	73	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1471870	1475058	-							amb1359	3189		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1471870	1475058	-	BAE50163.1			hypothetical protein			amb1359	3189	1062	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1475043	1475846	-							amb1360	804		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1475043	1475846	-	BAE50164.1			Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II			amb1360	804	267	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1475843	1476457	-							amb1361	615		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1475843	1476457	-	BAE50165.1			Phosphopantetheinyl transferase			amb1361	615	204	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1476518	1477699	+							amb1362	1182		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1476518	1477699	+	BAE50166.1			TPR repeat SEL1 subfamily			amb1362	1182	393	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1477696	1479378	+							amb1363	1683		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1477696	1479378	+	BAE50167.1			hypothetical protein			amb1363	1683	560	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1479613	1480605	+							amb1364	993		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1479613	1480605	+	BAE50168.1			Nucleoside-diphosphate-sugar epimerase			amb1364	993	330	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1480602	1481765	+							amb1365	1164		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1480602	1481765	+	BAE50169.1			Glycosyltransferase			amb1365	1164	387	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1481771	1482631	+							amb1366	861		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1481771	1482631	+	BAE50170.1			Putative phytoene synthase			amb1366	861	286	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1482658	1484436	+							amb1367	1779		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1482658	1484436	+	BAE50171.1			Squalene cyclase			amb1367	1779	592	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1484823	1485473	+							amb1368	651		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1484823	1485473	+	BAE50172.1			Nucleoside phosphorylase			amb1368	651	216	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1485420	1486628	-							amb1369	1209		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1485420	1486628	-	BAE50173.1			Predicted Fe-S oxidoreductase			amb1369	1209	402	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1486809	1487531	-							amb1370	723		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1486809	1487531	-	BAE50174.1			Response regulator			amb1370	723	240	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1487531	1488226	-							amb1371	696		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1487531	1488226	-	BAE50175.1			Phosphate uptake regulator			amb1371	696	231	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1488367	1489146	-							amb1372	780		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1488367	1489146	-	BAE50176.1			ABC-type phosphate transport system			amb1372	780	259	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1489154	1490449	-							amb1373	1296		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1489154	1490449	-	BAE50177.1			ABC-type phosphate transport system			amb1373	1296	431	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1490451	1491824	-							amb1374	1374		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1490451	1491824	-	BAE50178.1			ABC-type phosphate transport system			amb1374	1374	457	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1491883	1492908	-							amb1375	1026		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1491883	1492908	-	BAE50179.1			ABC-type phosphate transport system			amb1375	1026	341	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1493034	1494677	-							amb1376	1644		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1493034	1494677	-	BAE50180.1			Transcriptional regulator			amb1376	1644	547	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1494733	1495164	+							amb1377	432		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1494733	1495164	+	BAE50181.1			Predicted flavin-nucleotide-binding protein			amb1377	432	143	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1495161	1495670	-							amb1378	510		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1495161	1495670	-	BAE50182.1			Hemerythrin-like protein PA1673			amb1378	510	169	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1495639	1496331	-							amb1379	693		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1495639	1496331	-	BAE50183.1			Pentose-5-phosphate-3-epimerase			amb1379	693	230	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1496422	1497486	-							amb1380	1065		
