# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	208802	211576	+	ABK42720.1			diguanylate cyclase with PAS/PAC sensor			Mmc1_0193	2775	924	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	211950	215048	+							Mmc1_0194	3099		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	211950	215048	+	ABK42721.1			methyl-accepting chemotaxis sensory transducer			Mmc1_0194	3099	1032	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	215224	215565	-							Mmc1_0195	342		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	215224	215565	-	ABK42722.1			hypothetical protein			Mmc1_0195	342	113	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	216041	216388	-							Mmc1_0196	348		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	216041	216388	-	ABK42723.1			anti-sigma-factor antagonist			Mmc1_0196	348	115	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	216566	217792	-							Mmc1_0197	1227		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	216566	217792	-	ABK42724.1			hypothetical protein			Mmc1_0197	1227	408	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	217909	219450	+							Mmc1_0198	1542		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	217909	219450	+	ABK42725.1			sigma54 specific transcriptional regulator, Fis family			Mmc1_0198	1542	513	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	219479	221020	-							Mmc1_0199	1542		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	219479	221020	-	ABK42726.1			metal dependent phosphohydrolase			Mmc1_0199	1542	513	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	221242	221682	-							Mmc1_0200	441		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	221242	221682	-	ABK42727.1			hypothetical protein			Mmc1_0200	441	146	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	222331	222588	+							Mmc1_0201	258		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	222331	222588	+	ABK42728.1			protein of unknown function DUF29			Mmc1_0201	258	85	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	222753	223202	+							Mmc1_0202	450		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	222753	223202	+	ABK42729.1			conserved hypothetical protein			Mmc1_0202	450	149	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	223407	224483	+							Mmc1_0203	1077		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	223407	224483	+	ABK42730.1			Sel1 domain protein repeat-containing protein			Mmc1_0203	1077	358	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	224619	225653	+							Mmc1_0204	1035		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	224619	225653	+	ABK42731.1			Sel1 domain protein repeat-containing protein			Mmc1_0204	1035	344	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	225892	226920	+							Mmc1_0205	1029		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	225892	226920	+	ABK42732.1			amino acid ABC transporter substrate-binding protein, PAAT family			Mmc1_0205	1029	342	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	226901	229216	+							Mmc1_0206	2316		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	226901	229216	+	ABK42733.1			periplasmic sensor hybrid histidine kinase			Mmc1_0206	2316	771	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	229340	229681	-							Mmc1_0207	342		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	229340	229681	-	ABK42734.1			Uncharacterized conserved protein UCP025560			Mmc1_0207	342	113	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	229710	229898	-							Mmc1_0208	189		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	229710	229898	-	ABK42735.1			conserved hypothetical protein			Mmc1_0208	189	62	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	230064	233459	-							Mmc1_0209	3396		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	230064	233459	-	ABK42736.1			hypothetical protein			Mmc1_0209	3396	1131	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	233691	234956	+							Mmc1_0210	1266		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	233691	234956	+	ABK42737.1			hypothetical protein			Mmc1_0210	1266	421	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	235057	235353	-							Mmc1_0211	297		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	235057	235353	-	ABK42738.1			hypothetical protein			Mmc1_0211	297	98	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	235613	236113	+							Mmc1_0212	501		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	235613	236113	+	ABK42739.1			protein of unknown function DUF336			Mmc1_0212	501	166	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	236260	236514	-							Mmc1_0213	255		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	236260	236514	-	ABK42740.1			hypothetical protein			Mmc1_0213	255	84	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	236782	236994	-							Mmc1_0214	213		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	236782	236994	-	ABK42741.1			Mrr restriction system protein			Mmc1_0214	213	70	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	237085	237648	-							Mmc1_0215	564		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	237085	237648	-	ABK42742.1			transcriptional regulator, TrmB			Mmc1_0215	564	187	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	237795	239591	+							Mmc1_0216	1797		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	237795	239591	+	ABK42743.1			asparagine synthase (glutamine-hydrolyzing)			Mmc1_0216	1797	598	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	239600	241366	+							Mmc1_0217	1767		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	239600	241366	+	ABK42744.1			GCN5-related N-acetyltransferase			Mmc1_0217	1767	588	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	241753	242256	+							Mmc1_0218	504		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	241753	242256	+	ABK42745.1			hypothetical protein			Mmc1_0218	504	167	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	242270	242689	+							Mmc1_0219	420		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	242270	242689	+	ABK42746.1			hypothetical protein			Mmc1_0219	420	139	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	242740	243831	+							Mmc1_0220	1092		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	242740	243831	+	ABK42747.1			peptidase M42 family protein			Mmc1_0220	1092	363	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	244268	245017	+							Mmc1_0221	750		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	244268	245017	+	ABK42748.1			hypothetical protein			Mmc1_0221	750	249	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	245558	246703	+							Mmc1_0222	1146		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	245558	246703	+	ABK42749.1			GCN5-related N-acetyltransferase			Mmc1_0222	1146	381	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	246803	247960	+							Mmc1_0223	1158		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	246803	247960	+	ABK42750.1			conserved hypothetical protein			Mmc1_0223	1158	385	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	247999	248808	+							Mmc1_0224	810		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	247999	248808	+	ABK42751.1			conserved hypothetical protein			Mmc1_0224	810	269	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	248953	249198	-							Mmc1_0225	246		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	248953	249198	-	ABK42752.1			hypothetical protein			Mmc1_0225	246	81	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	249241	251067	-							Mmc1_0226	1827		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	249241	251067	-	ABK42753.1			Na+/Pi-cotransporter			Mmc1_0226	1827	608	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	251457	252734	+							Mmc1_0227	1278		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	251457	252734	+	ABK42754.1			putative GAF sensor protein			Mmc1_0227	1278	425	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	253221	253904	+							Mmc1_0228	684		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	253221	253904	+	ABK42755.1			protein of unknown function DUF47			Mmc1_0228	684	227	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	253939	255207	+							Mmc1_0229	1269		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	253939	255207	+	ABK42756.1			phosphate transporter			Mmc1_0229	1269	422	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	255293	256429	-							Mmc1_0230	1137		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	255293	256429	-	ABK42757.1			hypothetical protein			Mmc1_0230	1137	378	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	256577	258040	-							Mmc1_0231	1464		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	256577	258040	-	ABK42758.1			hypothetical protein			Mmc1_0231	1464	487	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	258503	261853	-							Mmc1_0232	3351		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	258503	261853	-	ABK42759.1			multi-sensor hybrid histidine kinase			Mmc1_0232	3351	1116	
gene	tRNA	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	262431	262507	-							Mmc1_R0002	77		
tRNA		GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	262431	262507	-				tRNA-Arg			Mmc1_R0002	77		
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	262544	264322	-							Mmc1_0233	1779		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	262544	264322	-	ABK42760.1			cyclic nucleotide-binding protein			Mmc1_0233	1779	592	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	264386	265483	-							Mmc1_0234	1098		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	264386	265483	-	ABK42761.1			A/G-specific DNA-adenine glycosylase			Mmc1_0234	1098	365	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	265489	265998	-							Mmc1_0235	510		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	265489	265998	-	ABK42762.1			heptaprenyl diphosphate synthase component I			Mmc1_0235	510	169	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	265995	266402	-							Mmc1_0236	408		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	265995	266402	-	ABK42763.1			hypothetical protein			Mmc1_0236	408	135	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	266384	267391	-							Mmc1_0237	1008		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	266384	267391	-	ABK42764.1			ApbE family lipoprotein			Mmc1_0237	1008	335	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	267388	268134	-							Mmc1_0238	747		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	267388	268134	-	ABK42765.1			16S rRNA m(3)U-1498 methyltransferase			Mmc1_0238	747	248	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	268300	268854	+							Mmc1_0239	555		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	268300	268854	+	ABK42766.1			chorismate lyase			Mmc1_0239	555	184	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	268847	269722	+							Mmc1_0240	876		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	268847	269722	+	ABK42767.1			4-hydroxybenzoate octaprenyltransferase			Mmc1_0240	876	291	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	270077	271006	+							Mmc1_0241	930		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	270077	271006	+	ABK42768.1			response regulator receiver protein			Mmc1_0241	930	309	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	271172	273028	+							Mmc1_0242	1857		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	271172	273028	+	ABK42769.1			3-octaprenyl-4hydroxybenzoate decarboxylase			Mmc1_0242	1857	618	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	273114	273668	+							Mmc1_0243	555		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	273114	273668	+	ABK42770.1			Redoxin domain protein			Mmc1_0243	555	184	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	273699	274052	+							Mmc1_0244	354		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	273699	274052	+	ABK42771.1			CutA1 divalent ion tolerance protein			Mmc1_0244	354	117	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	274053	274793	+							Mmc1_0245	741		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	274053	274793	+	ABK42772.1			cytochrome c biogenesis protein, transmembrane region			Mmc1_0245	741	246	
gene	rRNA	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	275258	276753	+							Mmc1_R0003	1496		
rRNA		GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	275258	276753	+				16S ribosomal RNA			Mmc1_R0003	1496		
gene	rRNA	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	276952	279725	+							Mmc1_R0004	2774		
rRNA		GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	276952	279725	+				23S ribosomal RNA			Mmc1_R0004	2774		
gene	rRNA	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	279929	280043	+							Mmc1_R0005	115		
rRNA		GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	279929	280043	+				5S ribosomal RNA			Mmc1_R0005	115		
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	280268	280702	+							Mmc1_0246	435		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	280268	280702	+	ABK42773.1			LSU ribosomal protein L13P			Mmc1_0246	435	144	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	280715	281107	+							Mmc1_0247	393		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	280715	281107	+	ABK42774.1			SSU ribosomal protein S9P			Mmc1_0247	393	130	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	281241	282290	+							Mmc1_0248	1050		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	281241	282290	+	ABK42775.1			N-acetyl-gamma-glutamyl-phosphate reductase			Mmc1_0248	1050	349	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	282439	282696	+							Mmc1_0249	258		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	282439	282696	+	ABK42776.1			4Fe-4S ferredoxin, iron-sulfur binding domain protein			Mmc1_0249	258	85	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	282884	283771	+							Mmc1_0250	888		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	282884	283771	+	ABK42777.1			domain of unknown function DUF1732			Mmc1_0250	888	295	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	283786	284409	+							Mmc1_0251	624		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	283786	284409	+	ABK42778.1			guanylate kinase			Mmc1_0251	624	207	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	284490	284855	+							Mmc1_0252	366		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	284490	284855	+	ABK42779.1			DNA-directed RNA polymerase subunit omega			Mmc1_0252	366	121	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	284969	287230	+							Mmc1_0253	2262		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	284969	287230	+	ABK42780.1			(p)ppGpp synthetase I, SpoT/RelA			Mmc1_0253	2262	753	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	287331	287723	+							Mmc1_0254	393		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	287331	287723	+	ABK42781.1			endoribonuclease L-PSP			Mmc1_0254	393	130	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	287772	288101	+							Mmc1_0255	330		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	287772	288101	+	ABK42782.1			hypothetical protein			Mmc1_0255	330	109	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	288105	289238	+							Mmc1_0256	1134		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	288105	289238	+	ABK42783.1			amino acid ABC transporter substrate-binding protein, PAAT family			Mmc1_0256	1134	377	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	289295	290020	-							Mmc1_0257	726		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	289295	290020	-	ABK42784.1			DNA repair protein RadC			Mmc1_0257	726	241	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	290259	291641	+							Mmc1_0258	1383		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	290259	291641	+	ABK42785.1			primary replicative DNA helicase			Mmc1_0258	1383	460	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	293060	294250	+							Mmc1_0259	1191		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	293060	294250	+	ABK42786.1			alanine racemase			Mmc1_0259	1191	396	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	295056	296051	+							Mmc1_0260	996		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	295056	296051	+	ABK42787.1			extracellular solute-binding protein, family 3			Mmc1_0260	996	331	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	296065	298911	+							Mmc1_0261	2847		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	296065	298911	+	ABK42788.1			periplasmic sensor hybrid histidine kinase			Mmc1_0261	2847	948	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	299087	299884	+							Mmc1_0262	798		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	299087	299884	+	ABK42789.1			Sporulation domain protein			Mmc1_0262	798	265	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	299982	301340	+							Mmc1_0263	1359		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	299982	301340	+	ABK42790.1			DNA replication and repair protein RadA			Mmc1_0263	1359	452	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	301458	302108	+							Mmc1_0264	651		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	301458	302108	+	ABK42791.1			Colicin V production protein			Mmc1_0264	651	216	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	302282	303712	+							Mmc1_0265	1431		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	302282	303712	+	ABK42792.1			amidophosphoribosyltransferase			Mmc1_0265	1431	476	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	304016	304429	+							Mmc1_0266	414		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	304016	304429	+	ABK42793.1			flagellar basal-body rod protein FlgB			Mmc1_0266	414	137	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	304526	304951	+							Mmc1_0267	426		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	304526	304951	+	ABK42794.1			flagellar basal-body rod protein FlgC			Mmc1_0267	426	141	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	304966	305277	+							Mmc1_0268	312		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	304966	305277	+	ABK42795.1			flagellar hook-basal body complex subunit FliE			Mmc1_0268	312	103	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	305406	307061	+							Mmc1_0269	1656		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	305406	307061	+	ABK42796.1			flagellar M-ring protein FliF			Mmc1_0269	1656	551	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	307363	308373	+							Mmc1_0270	1011		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	307363	308373	+	ABK42797.1			flagellar motor switch protein FliG			Mmc1_0270	1011	336	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	308532	310106	+							Mmc1_0271	1575		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	308532	310106	+	ABK42798.1			hypothetical protein			Mmc1_0271	1575	524	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	310103	311452	+							Mmc1_0272	1350		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	310103	311452	+	ABK42799.1			type III secretion system ATPase, FliI/YscN			Mmc1_0272	1350	449	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	311698	312003	+							Mmc1_0273	306		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	311698	312003	+	ABK42800.1			hypothetical protein			Mmc1_0273	306	101	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	312216	312671	+							Mmc1_0274	456		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	312216	312671	+	ABK42801.1			hypothetical protein			Mmc1_0274	456	151	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	312740	313471	-							Mmc1_0275	732		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	312740	313471	-	ABK42802.1			short-chain dehydrogenase/reductase SDR			Mmc1_0275	732	243	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	313530	314450	+							Mmc1_0276	921		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	313530	314450	+	ABK42803.1			tRNA delta(2)-isopentenylpyrophosphate transferase			Mmc1_0276	921	306	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	314696	314953	+							Mmc1_0277	258		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	314696	314953	+	ABK42804.1			RNA-binding protein Hfq			Mmc1_0277	258	85	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	315020	316318	+							Mmc1_0278	1299		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	315020	316318	+	ABK42805.1			GTP-binding protein, HSR1-related protein			Mmc1_0278	1299	432	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	318313	319587	-							Mmc1_0279	1275		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	318313	319587	-	ABK42806.1			metal dependent phosphohydrolase			Mmc1_0279	1275	424	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	320040	320384	+							Mmc1_0280	345		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	320040	320384	+	ABK42807.1			hypothetical protein			Mmc1_0280	345	114	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	320472	321011	-							Mmc1_0281	540		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	320472	321011	-	ABK42808.1			hypothetical protein			Mmc1_0281	540	179	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	321021	321242	-							Mmc1_0282	222		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	321021	321242	-	ABK42809.1			Rubredoxin-type Fe(Cys)4 protein			Mmc1_0282	222	73	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	321914	322363	+							Mmc1_0283	450		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	321914	322363	+	ABK42810.1			hypothetical protein			Mmc1_0283	450	149	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	322581	323186	+							Mmc1_0284	606		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	322581	323186	+	ABK42811.1			hypothetical protein			Mmc1_0284	606	201	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	323330	323605	+							Mmc1_0285	276		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	323330	323605	+	ABK42812.1			hypothetical protein			Mmc1_0285	276	91	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	323709	324059	-							Mmc1_0286	351		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	323709	324059	-	ABK42813.1			arsenate reductase			Mmc1_0286	351	116	
